Schulnummer,Schultyp,Name,Straße,PLZ,Ort,Link
"7507",Mittelschule,Kolping-Grundschule Aschaffenburg,Kolpingstr. 4,63739,Aschaffenburg,https://www.km.bayern.de/schule/7507
"7505",Mittelschule,Grünewald-Grundschule Aschaffenburg,Ludwigsallee 2,63739,Aschaffenburg,https://www.km.bayern.de/schule/7505
"7500",Mittelschule,Brentano-Grundschule Aschaffenburg,Brentanostr. 2,63739,Aschaffenburg,https://www.km.bayern.de/schule/7500
"7501",Mittelschule,Brentano-Mittelschule Aschaffenburg,Schweinheimer Str. 11,63739,Aschaffenburg,https://www.km.bayern.de/schule/7501
"0015",Gymnasium,Karl-Theodor-von-Dalberg-Gymnasium Aschaffenburg,Grünewaldstr. 18,63739,Aschaffenburg,https://www.km.bayern.de/schule/0015
"0013",Gymnasium,Kronberg-Gymnasium Aschaffenburg,Fasaneriestr. 33,63739,Aschaffenburg,https://www.km.bayern.de/schule/0013
"0016",Gymnasium,Maria-Ward-Schule Mädchengymnasium der Maria-Ward-Stiftung Aschaffenburg,Brentanoplatz 8,63739,Aschaffenburg,https://www.km.bayern.de/schule/0016
"7438",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Altenpflegehilfe Aschaffenburg der Hans-Weinberger-Akademie der Arbeiterwohlfahrt,Berliner Allee 3,63739,Aschaffenburg,https://www.km.bayern.de/schule/7438
"0412",Realschule,Maria-Ward-Schule Aschaffenburg Mädchenrealschule der Maria-Ward-Stiftung Aschaffenburg,Brentanoplatz 8,63739,Aschaffenburg,https://www.km.bayern.de/schule/0412
"7001",Förderzentrum,Fröbel-Schule Aschaffenburg Förderzentrum Förderschwerpunkt Lernen,Friesenstr. 2,63739,Aschaffenburg,https://www.km.bayern.de/schule/7001
"7027",Förderzentrum,Comenius-Schule Förderzentrum Förderschwerpunkt geistige Entwicklung Aschaffenburg,Bessenbacher Weg 125,63739,Aschaffenburg,https://www.km.bayern.de/schule/7027
"7166",Berufsfachschulen f. Fremdsprachenberufe,Euro-Sprachenschule Aschaffenburg Private Berufsfachschule für Fremdsprachenberufe,Goldbacher Str. 6,63739,Aschaffenburg,https://www.km.bayern.de/schule/7166
"7150",Gewerbliche Fachschulen,Städtische Fachschule (Meisterschule) für Steinmetzen und Steinbildhauer Aschaffenburg,Schloßgasse 27,63739,Aschaffenburg,https://www.km.bayern.de/schule/7150
"7211",Berufsschule,Staatliche Berufsschule II Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7211
"7097",Wirtschaftsschule,Private Wirtschaftsschule Krauss Aschaffenburg,Erlenmeyerstr. 3 - 5,63741,Aschaffenburg,https://www.km.bayern.de/schule/7097
"7158",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Ergotherapie Aschaffenburg des IB e.V. (IB),Erlenmeyerstr. 4 - 6,63741,Aschaffenburg,https://www.km.bayern.de/schule/7158
"7009",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Physiotherapie Aschaffenburg des IB e.V. (IB),Erlenmeyerstr. 6,63741,Aschaffenburg,https://www.km.bayern.de/schule/7009
"7088",Berufsfachschule des Gesundheitswesens,Berufsfachschule für Logopädie Aschaffenburg des IB e.V. (IB),Erlenmeyerstr. 4 - 6,63741,Aschaffenburg,https://www.km.bayern.de/schule/7088
"7149",Hauswirtschaftliche und sozialberufliche Fachschulen,Fachschule für Heilerziehungspflege der bfz gemeinnützige GmbH in Aschaffenburg,Lange Str. 9-11,63741,Aschaffenburg,https://www.km.bayern.de/schule/7149
"7512",Mittelschule,Grundschule Aschaffenburg-Strietwald,Herrenwaldstr. 40,63741,Aschaffenburg,https://www.km.bayern.de/schule/7512
"7511",Mittelschule,Schiller-Grundschule Aschaffenburg,Schulstr. 39,63741,Aschaffenburg,https://www.km.bayern.de/schule/7511
"7508",Mittelschule,Christian-Schad-Grundschule Aschaffenburg-Nilkheim,Lindenweg 14,63741,Aschaffenburg,https://www.km.bayern.de/schule/7508
"7504",Mittelschule,Erthal-Grundschule Aschaffenburg,Friedrich-Krane-Platz 5,63741,Aschaffenburg,https://www.km.bayern.de/schule/7504
"7502",Mittelschule,Dalberg-Grundschule Aschaffenburg,Boppstr. 18,63741,Aschaffenburg,https://www.km.bayern.de/schule/7502
"7514",Mittelschule,Schönberg-Mittelschule Aschaffenburg,Wilhelmstr. 62,63741,Aschaffenburg,https://www.km.bayern.de/schule/7514
"7503",Mittelschule,Dalberg-Mittelschule Aschaffenburg,Boppstr. 18,63741,Aschaffenburg,https://www.km.bayern.de/schule/7503
"1080",Realschule,Ruth-Weiss-Realschule Aschaffenburg,Darmstädter Str. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/1080
"0854",Fachoberschule,Staatliche Fachoberschule Aschaffenburg,Ottostraße 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/0854
"0578",Realschule,Priv. staatl. anerk. Realschule Krauß Priv. Schulen Krauß e.V. Aschaffenburg,Erlenmeyerstr. 3 - 5,63741,Aschaffenburg,https://www.km.bayern.de/schule/0578
"7077",Förderzentrum,Förderzentrum Förderschwerpunkt körperliche und motorische Entwicklung in Aschaffenburg,Schneidmühlweg 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/7077
"0014",Gymnasium,Friedrich-Dessauer-Gymnasium Aschaffenburg,Stadtbadstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/0014
"0804",Berufsoberschule,Staatliche Berufsoberschule Aschaffenburg,Ottostraße 3,63741,Aschaffenburg,https://www.km.bayern.de/schule/0804
"7237",Berufsschule,Staatliche Berufsschule I Aschaffenburg,Seidelstr. 2,63741,Aschaffenburg,https://www.km.bayern.de/schule/7237
"7291",Berufsschule,Staatliche Berufsschule III Aschaffenburg,Seidelstr. 4,63741,Aschaffenburg,https://www.km.bayern.de/schule/7291
